; Generated by CNC Tool Converter
T2700 P2700 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D10.000000 I0.000000 J0.000000 Q0 ; Ball Endmill R5 D10 L75 2F
T2600 P2600 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D6.000000 I0.000000 J0.000000 Q0 ; Ball Endmill R3 D6 L75 2F
T2500 P2500 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D1.000000 I0.000000 J0.000000 Q0 ; Ball Endmill D1 L40 2F
T2510 P2510 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D1.500000 I0.000000 J0.000000 Q0 ; Ball Endmill D1.5 L40 2F
T2520 P2520 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D2.000000 I0.000000 J0.000000 Q0 ; Ball Endmill D2 L40 2F
T2530 P2530 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D2.550000 I0.000000 J0.000000 Q0 ; !!! Ball Endmill D2.5 L40 2F
T2540 P2540 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D3.175000 I0.000000 J0.000000 Q0 ; Ball Endmill D3.175 L40 2F
T2100 P2100 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D3.175000 I0.000000 J0.000000 Q0 ; Endmill D3.175 L40 2F
T2400 P2400 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D10.000000 I0.000000 J0.000000 Q0 ; Compression Endmill D10 L75 F35 2F
T2010 P2010 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D1.000000 I0.000000 J0.000000 Q0 ; Straight Cut
T2120 P2120 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D2.000000 I0.000000 J0.000000 Q0 ; Up Cut
T2130 P2130 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D3.175000 I0.000000 J0.000000 Q0 ; Up Cut
T2220 P2220 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D2.000000 I0.000000 J0.000000 Q0 ; Down Cut
T2110 P2110 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D1.000000 I0.000000 J0.000000 Q0 ; Up Cut
T2020 P2020 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D2.000000 I0.000000 J0.000000 Q0 ; Straight Cut
T2030 P2030 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D3.175000 I0.000000 J0.000000 Q0 ; Straight Cut
T2330 P2330 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D3.175000 I0.000000 J0.000000 Q0 ; Compression
T2460 P2460 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D5.880000 I0.000000 J0.000000 Q0 ; Compression
T2191 P2191 X0.000000 Y0.000000 Z0.000000 A0.000000 B0.000000 C0.000000 U0.000000 V0.000000 W0.000000 D10.000000 I0.000000 J0.000000 Q0 ; Up Cut
